State Code,Region,State,Year,PM10,PM2.5,NO2,SO2,UV_Irradiance,Population,Violent_crime,Property_crime,Total_crime,Violent_crime_per_100K,Property_crime_per_100K,Total_crime_per_100K
VT,Northeast,VT,2014,,0.2503559047625906,-1.7880700281787478,-0.8437669286804025,-1.016664382954565,-0.8186282358289135,-0.7709417019188896,-0.8408743088431923,-0.8349470313305346,102.6,1551.0,1653.565040916321
VT,Northeast,VT,2015,,0.37348949712942553,-1.6988003224414914,-1.1476137100066945,-0.4449101183148353,-0.8187343376830855,-0.76810080042229,-0.8452512981426343,-0.8383347919454178,118.0,1406.6,1524.658090032298
VT,Northeast,VT,2016,,-0.9430927597159589,-1.7880700281787478,-1.1476137100066945,-0.390312894105206,-0.8191277194541396,-0.7647864153429239,-0.8409508463609967,-0.8341528310398659,136.5,1556.9,1693.419790359892
VT,Northeast,VT,2017,,-0.9715082041083053,-1.877339733916004,-1.1476137100066945,-0.6936308063809246,-0.819083376196465,-0.759370946865031,-0.8445146245337665,-0.8364775214740106,165.8,1436.7,1602.483416365085
VT,Northeast,VT,2018,,-0.7347128341720852,-1.7880700281787478,-1.1476137100066945,-0.6875644481354102,-0.8189807866795346,-0.7557902272703587,-0.8480975370859875,-0.8390752182580724,185.0,1315.1,1500.1009036482276
VT,Northeast,VT,2019,,-0.7347128341720852,-1.7880700281787478,-1.1222931448961702,-0.3660474611231485,-0.8190347888646236,-0.7526238058106072,-0.8448590433638865,-0.8358322337378423,202.2,1424.4,1626.6312386917075
WA,West,WA,2000,,0.9828429157652977,,,-1.0636786593573013,-0.04776475171825616,-0.14520355456892017,0.44793616987112794,0.3669758335600731,369.66,4735.97,5105.629830130735
WA,West,WA,2001,,0.6071275954664949,,,-1.1440579061103668,-0.03402975693515378,-0.16088769824806343,0.48663545231100447,0.3982474700051496,355.01,4796.85,5151.860237178758
WA,West,WA,2002,,0.6781662064473609,,,-1.1137261148827948,-0.022172252755047833,-0.16958795908139948,0.4949254222081993,0.4041998357253169,345.43,4761.36,5106.791963613092
WA,West,WA,2003,,0.29140043555153583,,,-1.139508137426231,-0.013033004905135632,-0.160355029217451,0.5072527461695789,0.41615006822397116,347.0,4754.9,5101.896861180358
WA,West,WA,2004,,0.866023866596763,,,-1.016664382954565,-0.001968996246851073,-0.15875702212561377,0.5517066932293778,0.45481355841605187,344.0,4847.0,5190.343361399287
WA,West,WA,2005,,0.5881839658715976,,,-1.3290818325985552,0.009843140243884786,-0.1464760416976054,0.584349944572977,0.4847573912501668,346.0,4893.0,5238.845827265326
WA,West,WA,2006,,0.832872514805692,,,-1.1789394660220744,0.02565436537890159,-0.13537877022651348,0.4832821523121969,0.398913440040554,345.9,4480.0,4825.871611329813
WA,West,WA,2007,,0.4697862809034876,,,-1.2047214885655104,0.03628299056661835,-0.15236499375826484,0.3598462704730654,0.28980190219025925,333.1,4030.8,4363.891420846871
WA,West,WA,2008,,0.2471986331634412,,,-1.2411196380385967,0.050573666370811794,-0.14665359804114286,0.2984057780555408,0.23747154866292286,331.1,3775.2,4106.320474962737
WA,West,WA,2009,,0.3450740527370787,,,-1.009081435147672,0.0649335644881409,-0.13727270455757984,0.2815818749231495,0.22423487715177937,331.0,3666.9,3997.842199995649
WA,West,WA,2010,,-0.5815851616133297,,,-1.433726512333678,0.07645915279891986,-0.16443882511881283,0.3057772977390822,0.24135982091932126,313.5,3699.1,4012.546437390164
WA,West,WA,2011,,0.30087225034898407,,,-0.9074699345353062,0.08920425386944388,-0.1945346253484141,0.2805199168636127,0.21531253326129918,294.6,3574.6,3869.187843464414
WA,West,WA,2012,,-0.22639210670899912,,,-0.5070902903313577,0.09875781116647454,-0.18175056861371622,0.3294608759046976,0.25941960461233765,298.1,3689.1,3987.198269898503
WA,West,WA,2013,,0.5597685214792508,,,-0.554104566734094,0.10989309100128566,-0.21655161194706046,0.34995857989170265,0.27227985827738305,277.9,3710.3,3988.277257127184
WA,West,WA,2014,,-0.5231756370290618,,,-0.2871848039314617,0.12332192705483246,-0.19264069101734774,0.36237200856061236,0.2863562311375147,285.8,3698.9,3984.6437135981223
WA,West,WA,2015,,0.11301459019958332,,,-0.08699498182948735,0.1390081715230039,-0.1864558117174592,0.3007210379691255,0.2339100567344558,284.4,3463.8,3748.254443889846
WA,West,WA,2016,,-0.902048228927014,,,-0.3160000055976549,0.15519170440562557,-0.1359410319810488,0.3324123539350318,0.2683750401815957,303.5,3502.2,3805.761733316083
WA,West,WA,2017,,0.9654779219699758,,,-0.25988619182664696,0.1734571751881792,-0.12271308438750722,0.23689831530993732,0.18763134396362036,304.5,3173.6,3478.0439990963773
WA,West,WA,2018,,0.5802907868737234,,,-0.20832214673977478,0.19074460639634475,-0.08806000467377754,0.18059062018017386,0.1437848695829575,315.3,2967.3,3282.553165133523
WA,West,WA,2019,,-0.45845156924649483,,,-0.3357156698955766,0.20406573077448384,-0.12777344017832515,0.0895492427517771,0.05950863665544573,293.9,2681.9,2975.760788759606
WI,Midwest,WI,2000,-0.319055766806563,0.8871961584969443,,0.4070689877794999,-0.7861427696250187,-0.1253941367363434,-0.4141422295803424,-0.12475580710069112,-0.16583328644223064,236.78,2972.29,3209.068409252984
WI,Midwest,WI,2001,-0.6852124158297147,1.0454311821719702,,0.032324624143739746,-0.8543892998870555,-0.11979912985793069,-0.4204750724998455,-0.0888788456298538,-0.13569503999529578,231.14,3090.09,3321.235134413668
WI,Midwest,WI,2002,-0.5021340913181388,0.601370217844516,,-0.11453465349730153,-0.8392234042732695,-0.11404914109873437,-0.42781406803272765,-0.09928316445639662,-0.14571768220513975,224.91,3027.81,3252.722379418054
WI,Midwest,WI,2003,-0.11309265173104016,0.517238215820119,,-0.1753040097625599,-0.9332519570787422,-0.10949729838106365,-0.432045827553704,-0.13277789568557033,-0.17527268781361485,221.02,2882.65,3103.6681292451303
WI,Midwest,WI,2004,-0.021553489475252232,0.590784071894427,,-0.24113747904992322,-0.8331570460277551,-0.10492628415594943,-0.44823304753953674,-0.18557443218605452,-0.2231894386839543,210.0,2666.0,2875.5710195614347
WI,Midwest,WI,2005,-0.5250188818820858,1.3685872164378703,,0.17918390178478086,-1.3002666309323618,-0.10014540778065228,-0.3942855118280686,-0.18287170108858478,-0.21331157256876349,242.0,2660.0,2901.737129847705
WI,Midwest,WI,2006,-0.5021340913181388,0.8710383567836472,,0.017132285077425105,-1.37761269856267,-0.09717382412691135,-0.3229078617260054,-0.13840340324419761,-0.1648819006773672,284.0,2817.8,3101.841336984069
WI,Midwest,WI,2007,-0.319055766806563,0.9507130341974821,,0.1336068845858371,-1.221403973740675,-0.0905685812493963,-0.30772679435355166,-0.12698017871188302,-0.15288203066054618,290.9,2837.7,3128.6373276397626
WI,Midwest,WI,2008,-0.5707884630099798,0.608613370336685,,0.15892744969636147,-1.370029750755777,-0.08676793965926323,-0.33131219532011236,-0.14402412720796215,-0.17091699559447918,275.4,2761.3,3036.7242932612603
