State,Geographic Name,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
FL,Florida,2017,42.0,48.9,75.14,29.7,3.2,29838.0
GA,Georgia,2017,36.8,48.6,58.71,30.9,3.6,29668.0
HI,Hawaii,2017,39.2,50.2,25.02,32.9,2.6,33882.0
ID,Idaho,2017,36.3,50.2,90.04,26.8,2.6,26386.0
IL,Illinois,2017,38.0,49.2,71.24,34.4,4.0,34196.0
IN,Indiana,2017,37.7,49.3,83.67,26.8,3.0,28323.0
IA,Iowa,2017,38.3,49.7,90.0,28.9,2.4,30865.0
KS,Kansas,2017,36.7,49.9,84.52,33.7,2.8,30146.0
KY,Kentucky,2017,38.9,49.3,86.94,24.0,3.2,26779.0
LA,Louisiana,2017,36.8,48.9,61.71,23.8,3.8,25885.0
ME,Maine,2017,44.6,49.0,94.44,32.1,2.6,31088.0
MD,Maryland,2017,38.7,48.5,54.9,39.7,3.5,39960.0
MA,Massachusetts,2017,39.5,48.6,78.54,43.4,3.0,41821.0
MI,Michigan,2017,39.8,49.3,78.44,29.1,3.6,30488.0
MN,Minnesota,2017,37.9,49.9,82.68,36.1,2.5,36156.0
MS,Mississippi,2017,37.5,48.5,58.17,21.9,3.9,23121.0
MO,Missouri,2017,38.5,49.1,82.01,29.1,2.9,29438.0
MT,Montana,2017,40.0,50.1,88.58,32.3,2.2,29428.0
NE,Nebraska,2017,36.5,50.0,87.35,31.7,2.3,30915.0
NV,Nevada,2017,38.0,50.2,64.6,24.9,3.8,30166.0
NH,New Hampshire,2017,43.2,49.6,93.07,36.9,2.6,38237.0
NJ,New Jersey,2017,39.8,48.8,67.87,39.7,3.5,40567.0
NM,New Mexico,2017,37.7,49.5,75.76,27.1,3.7,25311.0
NY,New York,2017,38.7,48.6,63.09,36.0,3.5,37156.0
NC,North Carolina,2017,38.8,48.7,68.79,31.3,3.2,29560.0
ND,North Dakota,2017,35.4,51.4,86.59,30.7,2.1,34041.0
OH,Ohio,2017,39.3,49.0,81.31,28.0,3.2,30038.0
OK,Oklahoma,2017,36.6,49.6,72.18,25.5,3.2,26472.0
OR,Oregon,2017,39.3,49.6,84.42,33.7,3.2,31950.0
PA,Pennsylvania,2017,40.8,49.0,80.74,31.4,3.3,32711.0
RI,Rhode Island,2017,39.5,48.4,81.75,33.5,3.7,34511.0
SC,South Carolina,2017,39.4,48.5,67.28,28.0,3.5,27909.0
SD,South Dakota,2017,36.9,50.4,84.7,28.1,2.4,29611.0
TN,Tennessee,2017,38.6,48.7,77.75,27.3,3.0,28764.0
TX,Texas,2017,34.7,49.7,73.94,29.6,3.3,29525.0
UT,Utah,2017,31.0,50.4,85.66,34.6,2.4,28085.0
VT,Vermont,2017,42.6,49.4,94.16,38.3,2.5,32443.0
VA,Virginia,2017,38.2,49.2,67.47,38.7,2.9,37442.0
WA,Washington,2017,37.7,49.9,75.38,35.5,3.1,36975.0
WV,West Virginia,2017,42.4,49.4,92.76,20.2,3.5,24478.0
